VideoID, TotalComments, GoodComments, TrashComments, Glaze, ManyEmojis, Repetitive, Short, 67, GoodLikeAvg, FlaggedLikeAvg, GoodReplyAvg, FlaggedReplyAvg
jHQILhJKMOg, 324, 258, 66, 0, 43, 15, 50, 0, 11.852713178294573, 4.363636363636363, 0.5038759689922481, 0.045454545454545456
ZC7WctxipKg, 1000, 539, 461, 1, 281, 137, 312, 3, 24.84601113172542, 0.10845986984815618, 0.6623376623376623, 0.004338394793926247
Vpds69butp8, 177, 135, 42, 0, 18, 18, 25, 1, 1.162962962962963, 0.5476190476190477, 0.5111111111111111, 0.07142857142857142
P3TxVSAfQOI, 1000, 543, 457, 5, 263, 118, 331, 2, 3.5359116022099446, 0.0700218818380744, 0.0570902394106814, 0.0
bYdtx2xSvoc, 164, 106, 58, 0, 21, 26, 29, 2, 16.61320754716981, 0.5689655172413793, 0.6509433962264151, 0.06896551724137931
6dFlFLmAas4, 150, 81, 69, 0, 23, 34, 36, 3, 7.049382716049383, 0.8840579710144928, 0.30864197530864196, 0.08695652173913043
e7O5fBTR6Hg, 1000, 824, 176, 14, 34, 102, 55, 0, 1.3143203883495145, 0.32954545454545453, 0.09466019417475728, 0.07954545454545454
HjSZT1V2wpc, 387, 58, 329, 63, 159, 27, 234, 1, 0.1896551724137931, 0.46504559270516715, 0.06896551724137931, 0.1337386018237082
NXyvebi4YMM, 1000, 766, 234, 4, 49, 164, 65, 1, 34.281984334203656, 52.11965811965812, 0.1475195822454308, 0.03418803418803419
OqRdZmTJhMY, 136, 85, 51, 0, 38, 12, 36, 0, 1.4588235294117646, 0.9803921568627451, 0.1411764705882353, 0.0392156862745098
MgZ0imS3qLM, 850, 585, 265, 0, 115, 73, 173, 23, 0.5367521367521367, 0.4830188679245283, 0.15897435897435896, 0.07547169811320754
rxS9WKGeojU, 367, 198, 169, 0, 88, 36, 124, 0, 0.6919191919191919, 0.13609467455621302, 0.1919191919191919, 0.0
ibboseC3eug, 340, 154, 186, 0, 153, 20, 143, 1, 5.5, 2.935483870967742, 0.2662337662337662, 0.16666666666666666
iu_hggdXf5E, 1000, 704, 296, 1, 171, 97, 169, 8, 0.9502840909090909, 0.06756756756756757, 0.03551136363636364, 0.0033783783783783786
